Genome_number,Lineage,Date_Sample_collected,Period_4
1,A,25/03/2020,1
2,A,26/03/2020,1
3,B.1,26/03/2020,1
4,B.1.1,27/03/2020,1
5,A,04/04/2020,1
6,B.2,07/05/2020,1
7,B.1,04/05/2020,1
8,B,06/05/2020,1
9,B.1,07/05/2020,1
10,B.1,07/05/2020,1
11,B,07/05/2020,1
12,A.22,21/03/2020,1
13,B.1.1.1,27/03/2020,1
14,B,30/03/2020,1
15,B.2,25/03/2020,1
16,B.2,26/03/2020,1
17,B.4,27/03/2020,1
18,B.1,07/05/2020,1
19,B.2.4,07/05/2020,1
20,A,02/05/2020,1
21,B.1,04/05/2020,1
22,B.1,07/05/2020,1
23,B.1,24/07/2020,2
24,A.25,15/07/2020,2
25,B.4,02/04/2020,1
26,B.1,06/05/2020,1
27,B.1,07/05/2020,1
28,B.1,07/05/2020,1
29,B.1,07/05/2020,1
30,B.2.4,07/05/2020,1
31,A,11/05/2020,1
32,B.1,08/08/2020,2
33,B.1,21/07/2020,2
34,B.1,16/07/2020,2
35,A.25,24/07/2020,2
36,A,24/07/2020,2
37,B.1.1,30/03/2020,1
38,B.1.1,30/03/2020,1
39,B.1.1,30/03/2020,1
40,B.1.1,30/03/2020,1
41,B.4,30/03/2020,1
42,A.25,27/07/2020,2
43,A.25,28/07/2020,2
44,B.1.5,22/07/2020,2
45,B.1,21/07/2020,2
46,B.1,21/07/2020,2
47,A.25,26/08/2020,2
48,B.1,26/08/2020,2
49,A.25,27/08/2020,2
50,B.1,27/08/2020,2
51,B.1,26/08/2020,2
52,B.1,26/08/2020,2
53,B.1,15/08/2020,2
54,A.25,26/08/2020,2
55,A.23,24/08/2020,2
56,B.1,24/08/2020,2
57,B.1,24/08/2020,2
58,B.1,24/08/2020,2
59,B.1,26/08/2020,2
60,B.1,27/08/2020,2
61,B.1,30/08/2020,2
62,B.1,15/08/2020,2
63,B.1,22/08/2020,2
64,A.25,25/08/2020,2
65,A.25,05/09/2020,3
66,A.23,15/08/2020,2
67,A.23,15/08/2020,2
68,A.23,15/08/2020,2
69,A.23,15/08/2020,2
70,A.23,15/08/2020,2
71,A.23,15/08/2020,2
72,A.23,15/08/2020,2
73,B.1,26/08/2020,2
74,B.1,26/08/2020,2
75,A.23,15/08/2020,2
76,A.20,22/03/2020,1
77,B,22/03/2020,1
78,B.1.1.1,25/03/2020,1
79,A.23,15/08/2020,2
80,A.25,14/08/2020,2
81,A.23,16/08/2020,2
82,B.1,04/07/2020,2
83,A.25,04/07/2020,2
84,A.25,04/07/2020,2
