,Domain,Variance,Mean,One_minus_Mean,Position,Gene
0,WHCoV_35earlyB_sz44_nsp1_320_451,0.0,1.0,0.0,320,nsp1
1,WHCoV_35earlyB_sz44_nsp1_386_517,0.0,1.0,0.0,386,nsp1
2,WHCoV_35earlyB_sz44_nsp1_452_583,0.0,1.0,0.0,452,nsp1
3,WHCoV_35earlyB_sz44_nsp1_518_649,3.433961112298148e-05,0.999171270718232,0.0008287292817680258,518,nsp1
4,WHCoV_35earlyB_sz44_nsp1_584_715,3.353201396587679e-05,0.9991810737033667,0.0008189262966332711,584,nsp1
5,WHCoV_35earlyB_sz44_nsp1_650_781,0.0,1.0,0.0,650,nsp1
6,WHCoV_35earlyB_sz44_nsp2_848_979,0.0,1.0,0.0,848,nsp2
7,WHCoV_35earlyB_sz44_nsp2_914_1045,0.0,1.0,0.0,914,nsp2
8,WHCoV_35earlyB_sz44_nsp2_980_1111,0.0,1.0,0.0,980,nsp2
9,WHCoV_35earlyB_sz44_nsp2_1046_1177,5.217387366102516e-05,0.9985403996524761,0.0014596003475239039,1046,nsp2
10,WHCoV_35earlyB_sz44_nsp2_1112_1243,5.2856312995737574e-05,0.9985308848080133,0.0014691151919866696,1112,nsp2
11,WHCoV_35earlyB_sz44_nsp2_1178_1309,0.0,1.0,0.0,1178,nsp2
12,WHCoV_35earlyB_sz44_nsp2_1244_1375,0.0,1.0,0.0,1244,nsp2
13,WHCoV_35earlyB_sz44_nsp2_1310_1441,0.0,1.0,0.0,1310,nsp2
14,WHCoV_35earlyB_sz44_nsp2_1376_1507,0.0,1.0,0.0,1376,nsp2
15,WHCoV_35earlyB_sz44_nsp2_1442_1573,0.0,1.0,0.0,1442,nsp2
16,WHCoV_35earlyB_sz44_nsp2_1508_1639,0.0,1.0,0.0,1508,nsp2
17,WHCoV_35earlyB_sz44_nsp2_1574_1705,0.0,1.0,0.0,1574,nsp2
18,WHCoV_35earlyB_sz44_nsp2_1640_1771,0.0,1.0,0.0,1640,nsp2
19,WHCoV_35earlyB_sz44_nsp2_1706_1837,0.0,1.0,0.0,1706,nsp2
20,WHCoV_35earlyB_sz44_nsp2_1772_1903,0.0,1.0,0.0,1772,nsp2
21,WHCoV_35earlyB_sz44_nsp2_1838_1969,0.0,1.0,0.0,1838,nsp2
22,WHCoV_35earlyB_sz44_nsp2_1904_2035,0.0,1.0,0.0,1904,nsp2
23,WHCoV_35earlyB_sz44_nsp2_1970_2101,0.0,1.0,0.0,1970,nsp2
24,WHCoV_35earlyB_sz44_nsp2_2036_2167,1.9289379267775105e-05,0.9993788819875776,0.0006211180124223725,2036,nsp2
25,WHCoV_35earlyB_sz44_nsp2_2102_2233,1.9358024691357987e-05,0.9993777777777777,0.0006222222222223017,2102,nsp2
26,WHCoV_35earlyB_sz44_nsp2_2168_2299,0.0,1.0,0.0,2168,nsp2
27,WHCoV_35earlyB_sz44_nsp2_2234_2365,0.0,1.0,0.0,2234,nsp2
28,WHCoV_35earlyB_sz44_nsp2_2300_2431,0.0,1.0,0.0,2300,nsp2
29,WHCoV_35earlyB_sz44_nsp2_2366_2497,3.467112037551357e-05,0.9982811101163833,0.001718889883616681,2366,nsp2
30,WHCoV_35earlyB_sz44_nsp2_2432_2563,1.815770493301619e-05,0.9987560738581146,0.0012439261418853986,2432,nsp2
31,WHCoV_35earlyB_sz44_nsp2_2540_2629,0.0,1.0,0.0,2540,nsp2
32,WHCoV_35earlyB_sz44_nsp2_2564_2695,0.0,1.0,0.0,2564,nsp2
33,WHCoV_35earlyB_sz44_nsp3_2762_2893,0.0,1.0,0.0,2762,nsp3
34,WHCoV_35earlyB_sz44_nsp3_2828_2959,0.0,1.0,0.0,2828,nsp3
35,WHCoV_35earlyB_sz44_nsp3_2894_3025,0.0,1.0,0.0,2894,nsp3
36,WHCoV_35earlyB_sz44_nsp3_2960_3046,0.0,1.0,0.0,2960,nsp3
37,WHCoV_35earlyB_sz44_nsp3_3026_3157,0.0,1.0,0.0,3026,nsp3
38,WHCoV_35earlyB_sz44_nsp3_3092_3172,0.0,1.0,0.0,3092,nsp3
39,WHCoV_35earlyB_sz44_nsp3_3224_3355,6.11148295410151e-05,0.9676657060518725,0.03233429394812748,3224,nsp3
