,Domain,Variance,Mean,One_minus_Mean,Position,Gene
0,WHCoV_35earlyB_sz44_nsp1_320_451,0.0,1.0,0.0,320,nsp1
1,WHCoV_35earlyB_sz44_nsp1_386_517,0.0,1.0,0.0,386,nsp1
2,WHCoV_35earlyB_sz44_nsp1_452_583,0.0,1.0,0.0,452,nsp1
3,WHCoV_35earlyB_sz44_nsp1_518_649,3.3666285414687746e-05,0.9991875203119922,0.0008124796880077945,518,nsp1
4,WHCoV_35earlyB_sz44_nsp1_584_715,2.7289913084792596e-05,0.9992684972078003,0.0007315027921996897,584,nsp1
5,WHCoV_35earlyB_sz44_nsp1_650_781,0.0,1.0,0.0,650,nsp1
6,WHCoV_35earlyB_sz44_nsp2_848_979,0.0,1.0,0.0,848,nsp2
7,WHCoV_35earlyB_sz44_nsp2_914_1045,0.0,1.0,0.0,914,nsp2
8,WHCoV_35earlyB_sz44_nsp2_980_1111,0.0,1.0,0.0,980,nsp2
9,WHCoV_35earlyB_sz44_nsp2_1046_1177,0.0,1.0,0.0,1046,nsp2
10,WHCoV_35earlyB_sz44_nsp2_1112_1243,0.0,1.0,0.0,1112,nsp2
11,WHCoV_35earlyB_sz44_nsp2_1178_1309,0.0,1.0,0.0,1178,nsp2
12,WHCoV_35earlyB_sz44_nsp2_1244_1375,0.0,1.0,0.0,1244,nsp2
13,WHCoV_35earlyB_sz44_nsp2_1310_1441,0.0,1.0,0.0,1310,nsp2
14,WHCoV_35earlyB_sz44_nsp2_1376_1507,0.0,1.0,0.0,1376,nsp2
15,WHCoV_35earlyB_sz44_nsp2_1442_1573,0.0,1.0,0.0,1442,nsp2
16,WHCoV_35earlyB_sz44_nsp2_1508_1639,0.0,1.0,0.0,1508,nsp2
17,WHCoV_35earlyB_sz44_nsp2_1574_1705,0.0,1.0,0.0,1574,nsp2
18,WHCoV_35earlyB_sz44_nsp2_1640_1771,0.0,1.0,0.0,1640,nsp2
19,WHCoV_35earlyB_sz44_nsp2_1706_1837,0.0,1.0,0.0,1706,nsp2
20,WHCoV_35earlyB_sz44_nsp2_1772_1903,0.0,1.0,0.0,1772,nsp2
21,WHCoV_35earlyB_sz44_nsp2_1838_1969,0.0,1.0,0.0,1838,nsp2
22,WHCoV_35earlyB_sz44_nsp2_1904_2035,0.0,1.0,0.0,1904,nsp2
23,WHCoV_35earlyB_sz44_nsp2_1970_2101,0.0,1.0,0.0,1970,nsp2
24,WHCoV_35earlyB_sz44_nsp2_2036_2167,0.0,1.0,0.0,2036,nsp2
25,WHCoV_35earlyB_sz44_nsp2_2102_2233,0.0,1.0,0.0,2102,nsp2
26,WHCoV_35earlyB_sz44_nsp2_2168_2299,0.0,1.0,0.0,2168,nsp2
27,WHCoV_35earlyB_sz44_nsp2_2234_2365,0.0,1.0,0.0,2234,nsp2
28,WHCoV_35earlyB_sz44_nsp2_2300_2431,0.0,1.0,0.0,2300,nsp2
29,WHCoV_35earlyB_sz44_nsp2_2366_2497,0.0,1.0,0.0,2366,nsp2
30,WHCoV_35earlyB_sz44_nsp2_2432_2563,0.0,1.0,0.0,2432,nsp2
31,WHCoV_35earlyB_sz44_nsp2_2540_2629,0.0,1.0,0.0,2540,nsp2
32,WHCoV_35earlyB_sz44_nsp2_2564_2695,0.0,1.0,0.0,2564,nsp2
33,WHCoV_35earlyB_sz44_nsp3_2762_2893,0.0,1.0,0.0,2762,nsp3
34,WHCoV_35earlyB_sz44_nsp3_2828_2959,0.0,1.0,0.0,2828,nsp3
35,WHCoV_35earlyB_sz44_nsp3_2894_3025,0.0,1.0,0.0,2894,nsp3
36,WHCoV_35earlyB_sz44_nsp3_2960_3046,0.0,1.0,0.0,2960,nsp3
37,WHCoV_35earlyB_sz44_nsp3_3026_3157,1.168813641370102e-05,0.9995212734127222,0.00047872658727776685,3026,nsp3
38,WHCoV_35earlyB_sz44_nsp3_3092_3172,1.03820637304063e-05,0.9995488128137161,0.00045118718628389676,3092,nsp3
39,WHCoV_35earlyB_sz44_nsp3_3224_3355,0.0,1.0,0.0,3224,nsp3
40,WHCoV_35earlyB_sz44_nsp3_3224_3289,0.0,1.0,0.0,3224,nsp3
41,WHCoV_35earlyB_sz44_nsp3_3290_3421,0.0,1.0,0.0,3290,nsp3
