,Domain,Variance,Mean,One_minus_Mean,Position,Gene
0,WHCoV_35earlyB_sz44_nsp1_320_451,1.2709856888387823e-05,0.9997224582271311,0.00027754177286887227,320,nsp1
1,WHCoV_35earlyB_sz44_nsp1_386_517,9.247750946969697e-06,0.9997632575757576,0.00023674242424243097,386,nsp1
2,WHCoV_35earlyB_sz44_nsp1_452_583,4.234155876920145e-06,0.9998398077693232,0.00016019223067675892,452,nsp1
3,WHCoV_35earlyB_sz44_nsp1_518_649,3.7461393952343074e-06,0.9998493219487695,0.0001506780512304795,518,nsp1
4,WHCoV_35earlyB_sz44_nsp1_584_715,0.0,1.0,0.0,584,nsp1
5,WHCoV_35earlyB_sz44_nsp1_650_781,0.0,1.0,0.0,650,nsp1
6,WHCoV_35earlyB_sz44_nsp2_848_979,3.2342619375566314e-05,0.9993719579211808,0.0006280420788191687,848,nsp2
7,WHCoV_35earlyB_sz44_nsp2_914_1045,1.2095303837253048e-05,0.999729251275643,0.00027074872435695063,914,nsp2
8,WHCoV_35earlyB_sz44_nsp2_980_1111,1.8047172737814634e-06,0.9998954166339844,0.00010458336601559814,980,nsp2
9,WHCoV_35earlyB_sz44_nsp2_1046_1177,1.322096791529554e-06,0.9999104862701735,8.951372982646255e-05,1046,nsp2
10,WHCoV_35earlyB_sz44_nsp2_1112_1243,0.00014075926190841974,0.9964890979916021,0.003510902008397876,1112,nsp2
11,WHCoV_35earlyB_sz44_nsp2_1178_1309,0.0001360836726069827,0.9965293069099299,0.003470693090070087,1178,nsp2
12,WHCoV_35earlyB_sz44_nsp2_1244_1375,0.0,1.0,0.0,1244,nsp2
13,WHCoV_35earlyB_sz44_nsp2_1310_1441,0.0,1.0,0.0,1310,nsp2
14,WHCoV_35earlyB_sz44_nsp2_1376_1507,0.0,1.0,0.0,1376,nsp2
15,WHCoV_35earlyB_sz44_nsp2_1442_1573,0.0,1.0,0.0,1442,nsp2
16,WHCoV_35earlyB_sz44_nsp2_1508_1639,0.0,1.0,0.0,1508,nsp2
17,WHCoV_35earlyB_sz44_nsp2_1574_1705,0.0,1.0,0.0,1574,nsp2
18,WHCoV_35earlyB_sz44_nsp2_1640_1771,0.0,1.0,0.0,1640,nsp2
19,WHCoV_35earlyB_sz44_nsp2_1706_1837,0.0,1.0,0.0,1706,nsp2
20,WHCoV_35earlyB_sz44_nsp2_1772_1903,1.9257075506896764e-06,0.9998919678064062,0.0001080321935937878,1772,nsp2
21,WHCoV_35earlyB_sz44_nsp2_1838_1969,9.234004756454625e-06,0.9997634335924298,0.00023656640757019343,1838,nsp2
22,WHCoV_35earlyB_sz44_nsp2_1904_2035,1.1127646794247267e-06,0.9999178779666584,8.212203334156953e-05,1904,nsp2
23,WHCoV_35earlyB_sz44_nsp2_1970_2101,5.721128331543589e-06,0.9997379197379198,0.00026208026208018875,1970,nsp2
24,WHCoV_35earlyB_sz44_nsp2_2036_2167,2.0532742215765437e-05,0.9995213895835013,0.0004786104164986593,2036,nsp2
25,WHCoV_35earlyB_sz44_nsp2_2102_2233,2.6559769328333048e-05,0.9993319865319866,0.0006680134680133731,2102,nsp2
26,WHCoV_35earlyB_sz44_nsp2_2168_2299,9.800894282266586e-06,0.9996558996558996,0.00034410034410037316,2168,nsp2
27,WHCoV_35earlyB_sz44_nsp2_2234_2365,1.2521913348359513e-05,0.999724517906336,0.00027548209366401455,2234,nsp2
28,WHCoV_35earlyB_sz44_nsp2_2300_2431,1.2225277183719712e-05,0.9997278004610728,0.00027219953892720916,2300,nsp2
29,WHCoV_35earlyB_sz44_nsp2_2366_2497,6.6498700373007705e-06,0.9997992458153604,0.0002007541846396066,2366,nsp2
30,WHCoV_35earlyB_sz44_nsp2_2432_2563,1.960810218693473e-05,0.9993992402155667,0.0006007597844333024,2432,nsp2
31,WHCoV_35earlyB_sz44_nsp2_2540_2629,1.2232204737901416e-05,0.9995365418894829,0.00046345811051706765,2540,nsp2
32,WHCoV_35earlyB_sz44_nsp2_2564_2695,2.9717220675302384e-06,0.9998657970314303,0.0001342029685696966,2564,nsp2
33,WHCoV_35earlyB_sz44_nsp3_2762_2893,2.3342651826044897e-06,0.9998810585786501,0.00011894142134993846,2762,nsp3
34,WHCoV_35earlyB_sz44_nsp3_2828_2959,3.6249785186458264e-06,0.9998517786561265,0.00014822134387348918,2828,nsp3
35,WHCoV_35earlyB_sz44_nsp3_2894_3025,7.590575199762131e-06,0.999696170144719,0.0003038298552809904,2894,nsp3
36,WHCoV_35earlyB_sz44_nsp3_2960_3046,3.3669488458393143e-06,0.9998028128171668,0.0001971871828332361,2960,nsp3
37,WHCoV_35earlyB_sz44_nsp3_3026_3157,2.7798306033956833e-05,0.9992971423286785,0.0007028576713214996,3026,nsp3
38,WHCoV_35earlyB_sz44_nsp3_3092_3172,2.9207403455385132e-05,0.9992794677358435,0.0007205322641564704,3092,nsp3
39,WHCoV_35earlyB_sz44_nsp3_3224_3355,2.10028452386967e-05,0.9994643844787938,0.0005356155212061786,3224,nsp3
40,WHCoV_35earlyB_sz44_nsp3_3224_3289,2.0662388120721004e-05,0.9994622194023989,0.000537780597601123,3224,nsp3
41,WHCoV_35earlyB_sz44_nsp3_3290_3421,0.0,1.0,0.0,3290,nsp3
42,WHCoV_35earlyB_sz44_nsp3_3356_3487,0.0,1.0,0.0,3356,nsp3
43,WHCoV_35earlyB_sz44_nsp3_3422_3553,0.0,1.0,0.0,3422,nsp3
44,WHCoV_35earlyB_sz44_nsp3_3488_3619,1.105474036357078e-05,0.9996331738437002,0.0003668261562997932,3488,nsp3
45,WHCoV_35earlyB_sz44_nsp3_3554_3685,1.0146693100743647e-05,0.9996482683982684,0.00035173160173163076,3554,nsp3
46,WHCoV_35earlyB_sz44_nsp3_3620_3751,6.602498006168534e-06,0.9997999621550022,0.0002000378449977802,3620,nsp3
47,WHCoV_35earlyB_sz44_nsp3_3686_3817,8.885736991267815e-06,0.9997679376129955,0.00023206238700446136,3686,nsp3
48,WHCoV_35earlyB_sz44_nsp3_3752_3883,0.0,1.0,0.0,3752,nsp3
49,WHCoV_35earlyB_sz44_nsp3_3818_3949,0.0,1.0,0.0,3818,nsp3
50,WHCoV_35earlyB_sz44_nsp3_3884_4015,5.436992624558277e-06,0.9998184746010834,0.00018152539891658215,3884,nsp3
51,WHCoV_35earlyB_sz44_nsp3_3950_4081,6.1245968484124764e-06,0.9998073376819971,0.00019266231800285638,3950,nsp3
52,WHCoV_35earlyB_sz44_nsp3_4016_4147,0.0,1.0,0.0,4016,nsp3
53,WHCoV_35earlyB_sz44_nsp3_4082_4213,0.0,1.0,0.0,4082,nsp3
54,WHCoV_35earlyB_sz44_nsp3_4148_4279,0.0,1.0,0.0,4148,nsp3
55,WHCoV_35earlyB_sz44_nsp3_4214_4345,0.0,1.0,0.0,4214,nsp3
56,WHCoV_35earlyB_sz44_nsp3_4280_4411,0.0,1.0,0.0,4280,nsp3
57,WHCoV_35earlyB_sz44_nsp3_4346_4477,7.497967741715125e-06,0.9996980292434838,0.0003019707565161678,4346,nsp3
58,WHCoV_35earlyB_sz44_nsp3_4412_4543,7.017029088640001e-06,0.999712414123662,0.0002875858763380368,4412,nsp3
59,WHCoV_35earlyB_sz44_nsp3_4478_4609,0.0,1.0,0.0,4478,nsp3
60,WHCoV_35earlyB_sz44_nsp3_4544_4675,0.0,1.0,0.0,4544,nsp3
61,WHCoV_35earlyB_sz44_nsp3_4610_4741,0.0,1.0,0.0,4610,nsp3
62,WHCoV_35earlyB_sz44_nsp3_4676_4807,0.0,1.0,0.0,4676,nsp3
63,WHCoV_35earlyB_sz44_nsp3_4742_4873,0.0,1.0,0.0,4742,nsp3
64,WHCoV_35earlyB_sz44_nsp3_4808_4939,1.6805520534355815e-06,0.9998990784266858,0.00010092157331420548,4808,nsp3
65,WHCoV_35earlyB_sz44_nsp3_4874_5005,5.204400808796419e-06,0.9998223998223998,0.00017760017760015678,4874,nsp3
66,WHCoV_35earlyB_sz44_nsp3_4940_5071,0.0,1.0,0.0,4940,nsp3
67,WHCoV_35earlyB_sz44_nsp3_5006_5137,0.0,1.0,0.0,5006,nsp3
68,WHCoV_35earlyB_sz44_nsp3_5072_5203,0.0,1.0,0.0,5072,nsp3
69,WHCoV_35earlyB_sz44_nsp3_5138_5269,1.2409480366385525e-05,0.9996109746109748,0.00038902538902518824,5138,nsp3
70,WHCoV_35earlyB_sz44_nsp3_5204_5335,1.395661895750948e-05,0.9994958247991178,0.0005041752008821954,5204,nsp3
71,WHCoV_35earlyB_sz44_nsp3_5270_5401,1.4449048891356534e-06,0.9999064211598273,9.357884017269225e-05,5270,nsp3
72,WHCoV_35earlyB_sz44_nsp3_5336_5467,0.0,1.0,0.0,5336,nsp3
73,WHCoV_35earlyB_sz44_nsp3_5402_5533,0.0,1.0,0.0,5402,nsp3
74,WHCoV_35earlyB_sz44_nsp3_5468_5599,0.0,1.0,0.0,5468,nsp3
